ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3254602,"Tichatschek, Joseph",狄夏谐克,,1807-1886,捷克,声乐,男高音,2017-08-08
3254603,"Tiensuu, Jukka",田苏,,1948-,芬兰,作曲,nan,2017-08-08
3254604,"Tiersot, Julien",狄埃索,,1857-1936,法国,音乐学；作曲,nan,2017-08-08
3254605,"Tietjen, Heinz",蒂特延,,1881-1967,德国,指挥,nan,2017-08-08
3254606,"Tietjens, Therese",蒂特延丝,,1831-1877,德国,声乐,女高音,2017-08-08
3254607,"Tinayre, Yves",狄纳瑞,,1891-1972,法国,歌唱；音乐学,nan,2017-08-08
3254608,"Tinel, Edgar",狄内,,1854-1912,比利时,作曲,nan,2017-08-08
3254609,"Tingley, George Peter",汀雷,,1950-,美国,作曲,nan,2017-08-08
3254610,"Tiomkin, Dimitri",提昂金,,1894-1979,美国,作曲,俄裔,2017-08-08
3254611,"Tippet, Michael",提佩特,,1905-1998,英国,作曲,nan,2017-08-08
3254612,"Tishchenko, Boris",季先科,,1939-2010,俄国,作曲,nan,2017-08-08
3254613,"Titelouze, Jehan",提特路泽,,1563-1633,法国,作曲,nan,2017-08-08
3254614,"Tjeknavorian, Loris",且克纳沃量,,1937-,伊朗,作曲；小提琴；指挥,nan,2017-08-08
3254615,"Tobias, Rudolf",托比雅斯,,1873-1918,爱沙尼亚,作曲,nan,2017-08-08
3254616,"Toch, Ernst",托赫,,1887-1964,奥地利,作曲,nan,2017-08-08
3254617,"Todd, Will",陶德,,1970-,英国,作曲,nan,2017-08-08
3254618,"Toebosch, Louis",托厄玻什,,1916-2009,荷兰,作曲,nan,2017-08-08
3254619,"Toeschi, Carl Joseph",托厄斯契,,1731-1788,德国,作曲；小提琴,义裔,2017-08-08
3254620,"Togni, Camillo",托尼,,1922-1993,义大利,作曲,nan,2017-08-08
3254621,"Toldrà, Eduard",多德拉,,1895-1962,西班牙,作曲,nan,2017-08-08
3254622,"Tole, Vasil",托勒,,1963-,阿尔巴尼亚,作曲,nan,2017-08-08
3254623,"Tolenaar, Richard",托勒纳,,1960-,荷兰,作曲,nan,2017-08-08
3254624,"Tollefson, Tim",托勒夫森,,1969(?)-,美国,作曲,nan,2017-08-08
3254625,"Tomášek, Václav Jan Křtitel",托玛谢克,,1774-1850,捷克,作曲,nan,2017-08-08
3254626,"Tomasi, Henri",托玛希,,1901-1971,法国,作曲；指挥,nan,2017-08-08
3254627,"Tomasini, Alois Luigi",托玛西尼,,1741-1808,义大利,小提琴；作曲,nan,2017-08-08
3254628,"Tomeoni, Pellegrino",托梅欧尼,,1729-1816,义大利,作曲,nan,2017-08-08
3254629,"Tomkins, Thomas",汤姆金斯,,1572-1656,英国,作曲,nan,2017-08-08
3254630,"Tomlinson, Ernest",汤姆林森,,1924-,英国,作曲,nan,2017-08-08
3254631,"Tommasini, Vincenzo",汤玛西尼,,1878-1950,义大利,作曲,nan,2017-08-08
3254632,"Torelli, Giuseppe",托瑞里,,1658-1709,义大利,小提琴；作曲,nan,2017-08-08
3254633,"Torke, Michael",托尔克,,1961-,美国,作曲,nan,2017-08-08
3254634,"Tormis, Veljo",托尔米斯,,1930-,爱沙尼亚,作曲,nan,2017-08-08
3254635,"Torrefranca, Fausto",托瑞弗朗卡,,1883-1955,义大利,音乐学,nan,2017-08-08
3254636,"Torroba(Moreno Torroba), Federico",多洛巴,,1891-1982,西班牙,作曲,nan,2017-08-08
3254637,"Tortelier, Paul",托特里耶,,1914-1990,法国,大提琴；指挥；作曲,nan,2017-08-08
3254638,"Tortiglione, Paolo",托提利欧内,,1965-,义大利,作曲,nan,2017-08-08
3254639,"Toscanini, Arturo",托斯卡尼尼,,1867-1957,义大利,指挥,nan,2017-08-08
3254640,"Toselli, Enrico",托塞里,,1883-1926,义大利,作曲,nan,2017-08-08
3254641,"Toshima, Mikio",户岛美喜夫,,1937-,日本,作曲,nan,2017-08-08
3254642,"Tosic, Vladimir",托吉许,,1949-,南斯拉夫,作曲,nan,2017-08-08
3254643,"Tosti, Paolo",托斯悌,,1846-1916,义大利,作曲,nan,2017-08-08
3254644,"Tourel, Jennie",杜瑞尔,,1900-1973,美国,声乐,次女高音,2017-08-08
3254645,"Tournemire, Charles",杜内密尔,,1870-1939,法国,管风琴；作曲,nan,2017-08-08
3254646,"Tournier, Marcel",杜尼耶,,1879-1951,法国,竖琴,nan,2017-08-08
3254647,"Tours, Berthold",杜尔斯,,1838-1897,美国,小提琴；管风琴,荷裔,2017-08-08
3254648,"Tourte, François",杜尔特,,1747-1835,法国,琴弓制造,nan,2017-08-08
3254649,"Touzet, René",朵谢德,,1916-2003,古巴,作曲,nan,2017-08-08
3254650,"Tovey, Bramwell","托维,布兰维尔",,1953-,英国,作曲,nan,2017-08-08
3254651,"Tovey, Donald (Françis)","托维,多纳德",,1875-1940,英国,钢琴；作曲；音乐理论,nan,2017-08-08
3254652,"Tower, Joan",陶尔,,1938-,美国,作曲,nan,2017-08-08
3254653,"Towns, Nathan",汤斯,,1987-,美国,作曲,nan,2017-08-08
3254654,"Toyama, Yuzo",外山雄三,,1931-,日本,指挥；作曲,nan,2017-08-08
3254655,"Toye, Geoffrey",托耶,,1889-1942,英国,指挥；作曲；音乐理论,nan,2017-08-08
3254656,"Tracy, Hugh",崔希,,1903-1977,南非,音乐学,nan,2017-08-08
3254657,"Traetta, Tommaso",特拉耶塔,,1727-1779,义大利,作曲,nan,2017-08-08
3254658,"Trampler, Walter",特朗普勒,,1915-1997,美国,中提琴,德裔,2017-08-08
3254659,Trån Van Khê,陈文溪,,1921-,越南,民族音乐学,nan,2017-08-08
3254660,"Tranchell, Peter",特朗切尔,,1922-1993,英国,作曲,nan,2017-08-08
3254661,"Trapanese, Joseph",崔普尼斯,,1984-,美国,作曲,nan,2017-08-08
3254662,"Traubel, Helen",特劳贝尔,,1899-1972,美国,声乐,女高音,2017-08-08
3254663,"Traubmann, Sophie",特劳伯嫚,,1867-1951,美国,声乐,女高音,2017-08-08
3254664,"Travers, John",崔维尔斯,,1703-1758,英国,作曲；管风琴,nan,2017-08-08
3254665,"Travis, Roy",崔维斯,,1922-,美国,作曲,nan,2017-08-08
3254666,"Trebelli, Zélia",特蕾贝莉,,1838-1892,法国,声乐,次女高音,2017-08-08
3254667,"Treharne, Bryceson",崔哈恩,,1879-1948,美国,音乐编辑；作曲,nan,2017-08-08
3254668,"Tremblay, George","特伦布莱,乔治",,1911-1982,美国,作曲,加裔,2017-08-08
3254669,"Tremblay, Gilles","特伦布莱,吉尔斯",,1932-,加拿大,作曲,nan,2017-08-08
3254670,"Trimble, Joan","特琳伯,琼",,1915-2000,爱尔兰,钢琴,nan,2017-08-08
3254671,"Trimble, Lester","特林伯,雷斯特",,1923-1986,美国,作曲；乐评,nan,2017-08-08
3254672,"Tristano, Gerardo",勒利斯塔诺,,1955-,义大利,作曲,nan,2017-08-08
3254673,"Tromlitz, Johann George",特隆里兹,,1725-1805,德国,作曲,nan,2017-08-08
3254674,"Truelove, Stephen",楚勒弗,,1946-,美国,作曲,nan,2017-08-08
3254675,"Trümpy, Balz",特伦匹,,1946-,瑞士,作曲,nan,2017-08-08
3254676,"Truscott, Harold",楚斯考特,,1914-1992,英国,作曲,nan,2017-08-08
3254677,"Tryon, Valerie",崔雍,,1934-,英国,钢琴,nan,2017-08-08
3254678,"Tsabary, Eldad",查巴利,,1969-,以色列,作曲,nan,2017-08-08
3254679,"Tsanoff, Hristo",查诺夫,,1947-,保加利亚,作曲,nan,2017-08-08
3254680,"Tsontakis, George",措塔吉斯,,1951-,美国,作曲,nan,2017-08-08
3254681,"Tsujii, Eisei",边井英世,,1933-,日本,作曲,nan,2017-08-08
3254682,"Tubb, Carrie",特布,,1876-1976,英国,声乐,男高音,2017-08-08
3254683,"Tubin, Eduard",杜宾,,1905-1982,爱沙尼亚,作曲,nan,2017-08-08
3254684,"Tucker, Norman","塔克,诺曼",,1910-1978,英国,钢琴；音乐经理,nan,2017-08-08
3254685,"Tucker, Richard","塔克,理查",,1913-1975,美国,声乐,男高音,2017-08-08
3254686,"Tudor, David",都铎,,1926-1996,美国,钢琴；作曲,nan,2017-08-08
3254687,"Tull, Fisher",杜尔,,1934-1994,美国,作曲,nan,2017-08-08
3254688,"Tunder, Franz",特温德,,1614-1667,德国,作曲,nan,2017-08-08
3254689,"Tuominen, Harri Olavi",杜欧米能,,1944-,芬兰,作曲；指挥,nan,2017-08-08
3254690,"Turchi, Guido",杜尔基,,1916-2010,义大利,作曲,nan,2017-08-08
3254691,"Tureck, Rosalyn",杜瑞克,,1914-2003,美国,钢琴；指挥,nan,2017-08-08
3254692,"Turina, Joaquín",杜利纳,,1882-1949,西班牙,作曲,nan,2017-08-08
3254693,"Türk, Daniel Gottlob",替尔克,,1750-1813,德国,作曲,nan,2017-08-08
3254694,"Turnage, Marc Anthony",特纳吉,,1960-,英国,作曲,nan,2017-08-08
3254695,"Turner, William",特纳,,1651-1740,英国,作曲；声乐,nan,2017-08-08
3254696,"Turnovský, Martin",杜诺夫斯基,,1928-,捷克,指挥,nan,2017-08-08
3254697,"Turrin, Joseph",特林,,1947-,美国,作曲,nan,2017-08-08
3254698,"Turski, Zbigniew",杜尔斯基,,1908-1979,波兰,作曲；指挥,nan,2017-08-08
3254699,"Tutev, Georgi",杜特夫,,1924-1994,保加利亚,作曲,nan,2017-08-08
3254700,"Tuukkanen, Kalarvo",图卡能,,1909-1979,芬兰,作曲；指挥,nan,2017-08-08
3254701,"Tüür, Erkki-Sven",提吾尔,,1959-,爱沙尼亚,作曲,nan,2017-08-08
3254702,"Tuxen, Erik",图克森,,1902-1957,丹麦,指挥,nan,2017-08-08
3254703,"Tveitt, Geirr",特维特,,1908-1981,挪威,作曲,nan,2017-08-08
3254704,"Tyson, Alan",泰森,,1926-2000,英国,音乐学,nan,2017-08-08
3254705,"Uchida, Mitsuko",内田光子,,1946-,日本,钢琴,nan,2017-08-08
3254706,"Ugarte, Floro Meliton",乌加尔德,,1884-1975,阿根廷,作曲,nan,2017-08-08
3254707,"Uhde, Hermann",乌德,,1914-1965,德国,声乐,男中音,2017-08-08
3254708,"Uhl, Alfred","乌尔,阿弗雷德",,1909-1992,奥地利,作曲,nan,2017-08-08
3254709,"Uhl, Fritz","乌尔,弗利兹",,1928-2001,奥地利,声乐,男高音,2017-08-08
3254710,"Ullmann, Viktor",乌尔曼,,1898-1944,捷克,作曲,nan,2017-08-08
3254711,"Ung, Chinary",翁,,1942-,美国,作曲,柬埔寨裔,2017-08-08
3254712,"Unger, Georg","温格,盖欧格",,1837-1887,德国,声乐,男高音,2017-08-08
3254713,"Unger, Heinz","温格,海因兹",,1895-1965,加拿大,指挥,德裔,2017-08-08
3254714,"Unger, Hermann","温格,赫尔曼",,1886-1958,德国,作曲；音乐著作,nan,2017-08-08
3254715,"Unger, Karoline","温格,卡洛琳",,1803-1877,匈牙利,声乐,女低音,2017-08-08
3254716,"Uppman, Theodor",阿普曼,,1920-2005,美国,声乐,男中音,2017-08-08
3254717,"Urhan, Chrétien",乌罕,,1790-1845,法国,中；小提琴；作曲,德裔,2017-08-08
3254718,"Uribe-Holguín, Guillermo",乌利北-欧尔金,,1880-1971,哥伦比亚,作曲,nan,2017-08-08
3254719,"Ursuleac, Viorica",乌苏莉克,,1894-1985,罗马尼亚,声乐,女高音,2017-08-08
3254720,"Ussachevsky, Vladimir",乌萨切夫斯基,,1911-1990,美国,作曲,俄裔,2017-08-08
3254721,"Ustvol'skaya, Galina",乌丝特沃斯卡雅,,1919-2006,俄国,作曲,nan,2017-08-08
3254722,"Vaarala, Jussi",瓦腊拉,,1954-,芬兰,作曲,nan,2017-08-08
3254723,"Vaccai, Nicola",瓦喀伊,,1790-1848,义大利,作曲,nan,2017-08-08
3254724,"Vaccari, Francois",瓦卡里,,1775-1823,义大利,小提琴,nan,2017-08-08
3254725,"Vainberg(Wainberg), Moishei",瓦伊贝尔格,,1919-1996,波兰,作曲,nan,2017-08-08
3254726,"Valdengo, Giuseppe",瓦登果,,1914-2007,义大利,声乐,男中音,2017-08-08
3254727,"Válek, Jiří",瓦雷克,,1923-2005,捷克,作曲,nan,2017-08-08
3254728,"Valen, Fartein (Olav)",瓦连,,1887-1952,挪威,作曲,nan,2017-08-08
3254729,"Valente, Antonio",瓦连特,,1520-1581,义大利,作曲,nan,2017-08-08
3254730,"Valentini, Cesare","瓦连悌尼,凯萨",,1967-,义大利,作曲,nan,2017-08-08
3254731,"Valentini, Pier Francesco","瓦连悌尼,皮耶",,1570-1654,义大利,作曲；音乐理论,nan,2017-08-08
3254732,"Vallas, Léon",瓦拉斯,,1879-1956,法国,音乐学；乐评,nan,2017-08-08
3254733,"Vallet, Nicolas",瓦雷特,,1583-1642,荷兰,作曲,nan,2017-08-08
3254734,"Valls, Francisco",瓦尔斯,,1665-1747,西班牙,作曲,nan,2017-08-08
3254735,"Valverde, Joaquín",瓦维尔德,,1846-1910,西班牙,作曲,nan,2017-08-08
3254736,"Van Baaren, Kees",凡˙巴伦,,1906-1970,荷兰,作曲,nan,2017-08-08
3254737,"Van Bree, Johannes Bernardus",凡˙伯利,,1801-1857,荷兰,作曲,nan,2017-08-08
3254738,"Van de Goor, Joost",凡˙德古尔,,1956-,荷兰,作曲,nan,2017-08-08
3254739,"Van de Vate, Nancy",凡˙德瓦特,,1930-,美国,作曲,nan,2017-08-08
3254740,"van Delden, Lex",德尔登,,1919-1988,荷兰,作曲,nan,2017-08-08
3254741,"Van den Bergh, Gertrude",凡˙登贝格,,1793-1840,荷兰,作曲,nan,2017-08-08
3254742,"van den Booren, Jo",玻伦,,1935-,荷兰,作曲,nan,2017-08-08
3254743,van der Aa Michel,梵．德阿,,1970-,荷兰,作曲,nan,2017-08-08
3254744,"Van der Horst, Anthon",凡˙德霍尔斯特,,1899-1965,荷兰,作曲,nan,2017-08-08
3254745,"van der Straeten, Edmond",史特瑞登,,1826-1895,比利时,音乐学,nan,2017-08-08
3254746,"Van der Stucken, Frank",凡˙德斯徒肯,,1858-1928,美国,指挥；作曲,nan,2017-08-08
3254747,"van Dieren, Bernard",凡˙迪伦,,1887-1936,荷兰,作曲,nan,2017-08-08
3254748,"Van Dijk, Jan",凡˙迪克,,1918-,荷兰,作曲,nan,2017-08-08
3254749,"Van Domselaer, Jacob",凡˙东瑟雷尔,,1890-1960,荷兰,作曲,nan,2017-08-08
3254750,"Van Dormolen, Jan Willem",凡˙多尔摩伦,,1956-,荷兰,作曲,nan,2017-08-08
3254751,"Van Eck, Hans",凡˙埃克,,1958-,荷兰,作曲,nan,2017-08-08
3254752,"van Eeten, Ruud",梵．耶甸,,1973-,荷兰,作曲,nan,2017-08-08
3254753,"van Eyck, J. (Joncker) Jacob",凡˙艾克,,1590-1657,荷兰,作曲,nan,2017-08-08
3254754,"van Gilse, Jan",凡˙吉尔斯,,1881-1944,荷兰,作曲,nan,2017-08-08
3254755,"van Haren, André",凡˙哈伦,,1963-,荷兰,作曲,nan,2017-08-08
3254756,"van Hemel, Oscar",凡˙黑梅尔,,1892-1981,比利时,作曲,nan,2017-08-08
3254757,"Van Kampen, Christopher",凡˙康朋,,1945-,英国,大提琴,nan,2017-08-08
3254758,"van Lier, Bertus","李尔,伯杜斯",,1906-1972,荷兰,作曲,nan,2017-08-08
3254759,"van Maldere, Pieter",凡˙马德列,,1729-1768,比利时,作曲,nan,2017-08-08
3254760,"van Nieuwkerk, Willem Wander",凡˙纽科尔克,,1955-,荷兰,作曲,nan,2017-08-08
3254761,"van Norden, Maarten",凡˙诺登,,1955-,荷兰,作曲,nan,2017-08-08
3254762,"van Paassen, Marius",凡˙帕森,,1952-,荷兰,作曲,nan,2017-08-08
3254763,"Van Parys, Annelies",梵．巴莱丝,,1975-,比利时,作曲,nan,2017-08-08
3254764,"Van Rennes, Catharina",凡˙雷内丝,,1858-1940,荷兰,作曲,nan,2017-08-08
3254765,"Van Roosendael, Jan Rokus",凡˙罗森达尔,,1960-2005,荷兰,作曲,nan,2017-08-08
3254766,"Van Rooy, Anton",凡˙鲁伊,,1870-1932,荷兰,声乐,男中音,2017-08-08
3254767,"Van Steenberge, Sebastiaan",梵．史丹贝赫,,1974-,比利时,作曲,nan,2017-08-08
3254768,"van Tussenbroek, Hendrika",凡˙杜森布罗克,,1854-1943,荷兰,作曲,nan,2017-08-08
3254769,"Van Vactor, David",凡˙瓦克托,,1906-1994,美国,作曲；指挥,nan,2017-08-08
3254770,"van Vlijmen, Jan",凡˙弗利门,,1935-2004,荷兰,作曲,nan,2017-08-08
3254771,"van Wassenaer, Unico Wilhelm",瓦瑟纳尔,,1692-1766,荷兰,作曲,nan,2017-08-08
3254772,"Vandernoot, André",范德诺,,1927-1991,比利时,指挥,nan,2017-08-08
3254773,"Vanhal, Johann Baptist {Wanhal, Johann Baptist}",范豪,,1739-1813,捷克,作曲,nan,2017-08-08
3254774,"Varady, Julia",瓦拉蒂,,1941-,罗马尼亚,声乐,女高音,2017-08-08
3254775,"Varella-Cid, Sergio",瓦莱雅-席德,,1935-,葡萄牙,钢琴,nan,2017-08-08
3254776,"Varesi, Felice",瓦列西,,1813-1889,义大利,声乐,男中音,2017-08-08
3254777,"Varga, Tibor",瓦尔加,,1921-2003,英国,小提琴；指挥,匈裔,2017-08-08
3254778,"Varnay, Astrid",瓦娜伊,,1918-2006,美国,声乐,瑞典裔、女高音,2017-08-08
3254779,"Varviso, Silvio",瓦维梭,,1924-2006,瑞士,指挥,nan,2017-08-08
3254780,"Vásáry, Tamás",瓦萨里,,1933-,瑞士,钢琴；指挥,匈裔,2017-08-08
3254781,"Vasilenko, Sergey Nikiforovich",瓦西连科,,1872-1956,俄国,作曲,nan,2017-08-08
3254782,"Vasks, Peteris",瓦斯克斯,,1946-,拉托维亚,作曲,nan,2017-08-08
3254783,"Vassena, Nadir",瓦赛纳,,1970-,瑞士,作曲,nan,2017-08-08
3254784,"Vaughan Williams, Ralph",沃恩威廉斯,,1872-1958,英国,作曲,nan,2017-08-08
3254785,"Vaughan, Denis","沃恩,丹尼斯",,1926-,澳大利亚,指挥；音乐学,nan,2017-08-08
3254786,"Vaughan, Elizabeth","沃恩,伊莉莎白",,1937-,英国,声乐,女高音,2017-08-08
3254787,"Vázquez, Juan",瓦斯给斯,,1510-1560,西班牙,作曲,nan,2017-08-08
3254788,"Vazsonyi, Balint",瓦佐尼,,1936-2003,美国,钢琴,匈裔,2017-08-08
3254789,"Veale, John",魏尔,,1922-2006,英国,作曲,nan,2017-08-08
3254790,"Veasey, Josephine",魏瑟,,1930-,英国,声乐,次女高音,2017-08-08
3254791,"Vecchi, Orazio",威基,,1550-1605,义大利,作曲,nan,2017-08-08
3254792,"Vecsey, Franz von",魏才,,1893-1935,匈牙利,小提琴,nan,2017-08-08
3254793,"Veeman, Arnold",威曼,,1973-,荷兰,作曲,nan,2017-08-08
3254794,"Vega, Aurelio de la",魏加,,1925-,美国,作曲；音乐著作,古裔,2017-08-08
3254795,"Végh, Sándor",魏格,,1912-1997,法国,小提琴；指挥,匈牙利裔,2017-08-08
3254796,"Vejvanovský, Pavel Josef",魏伊瓦诺夫斯基,,1639-1693,捷克,作曲,nan,2017-08-08
3254797,"Veldhuis, Jacob ter",维尔德惠斯,,1951-,荷兰,作曲,nan,2017-08-08
3254798,"Venables, Ian",韦纳伯斯,,1955-,英国,作曲,nan,2017-08-08
3254799,"Venegas (Lloveras), Guillermo",魏内加斯,,1915-1993,波多黎各,作曲,nan,2017-08-08
3254800,"Veracini, Francesco Maria",魏拉契尼,,1690-1768,义大利,小提琴；作曲,nan,2017-08-08
3254801,"Verbeek, Margriet",费尔贝克,,1957-,荷兰,作曲,nan,2017-08-08
3254802,"Verbrugghen, Henri",费布吕根,,1873-1934,比利时,小提琴；指挥,nan,2017-08-08
3254803,"Vercoe, Elizabeth",魏尔可,,1941-,美国,作曲,nan,2017-08-08
3254804,"Verdi, Giuseppe","威尔第,朱塞佩",,1813-1901,义大利,作曲,nan,2017-08-08
3254805,"Verdi, Luigi","威尔第,路易吉",,1958-,义大利,作曲,nan,2017-08-08
3254806,"Veress, Sándor",威雷斯,,1907-1992,瑞士,作曲,匈裔,2017-08-08
3254807,"Veretti, Antonio",威雷第,,1900-1978,义大利,作曲,nan,2017-08-08
3254808,"Verhey, Theodorus Hendricus Hubertus",费黑,,1848-1929,荷兰,作曲,nan,2017-08-08
3254809,"Verhoog, Christiaan",费霍格,,1934-,荷兰,作曲,nan,2017-08-08
3254810,"Verhulst, Johannes","费胡斯特,约翰",,1816-1891,荷兰,作曲,nan,2017-08-08
3254811,"Verhulst, Pieter","费胡斯特,彼得",,1953-,荷兰,作曲,nan,2017-08-08
3254812,"Vermeulen, Matthijs",费莫连,,1888-1967,荷兰,作曲；乐评,nan,2017-08-08
3254813,"Vermote, Petra",费莫特,,1968-,比利时,作曲,nan,2017-08-08
3254814,"Verne, Adela","韦恩,阿黛拉",,1877-1952,英国,钢琴,nan,2017-08-08
3254815,"Verne, Mathilde","韦恩,玛蒂尔德",,1865-1936,英国,钢琴,nan,2017-08-08
3254816,"Verrall, John",韦罗,,1908-2001,美国,作曲,nan,2017-08-08
3254817,"Verrett, Shirley",韦瑞特,,1931-2010,美国,声乐,次女高音,2017-08-08
3254818,"Verstovsky, Aleksey Nikolayevitch",魏斯托夫斯基,,1799-1862,俄国,作曲,nan,2017-08-08
3254819,"Vestries, Lucia Elizabeth",魏丝特莉斯,,1797-1856,法国,声乐,义裔、女低音,2017-08-08
3254820,"Viana, Andersen",维阿纳,,1962-,巴西,作曲,nan,2017-08-08
3254821,"Vianna da Motta, José",维阿纳•达•莫达,,1868-1948,葡萄牙,作曲,nan,2017-08-08
3254822,"Viardot, Pauline",维亚朵,,1821-1910,法国,声乐；作曲,西裔、女高音,2017-08-08
3254823,"Vickers, Jon",维克斯,,1926-2015,加拿大,声乐,男高音,2018-05-31
3254824,"Victoria, Tomás Luis de",维多利亚,,1548-1611,西班牙,作曲,nan,2017-08-08
3254825,"Victors, Karel",维克托,,1901-1987,比利时,作曲,nan,2017-08-08
3254826,"Victory, Gerard",维多利,,1921-1995,爱尔兰,作曲,nan,2017-08-08
3254827,"Viera, Julio",维页拉,,1943-,阿根廷,作曲,nan,2017-08-08
3254828,"Vierne, Louis",维耶尔恩,,1870-1937,法国,作曲；管风琴,nan,2017-08-08
3254829,"Vieuxtemps, Henri",维欧当,,1820-1881,比利时,小提琴；作曲,nan,2017-08-08
3254830,"Viezzer, Mansueto",维耶泽尔,,1925-2009,义大利,作曲,nan,2017-08-08
3254831,"Vigulf, Roger Arve",维高夫,,1964-,挪威,作曲,nan,2017-08-08
3254832,"Villa-Lobos, Heitor",维拉－罗伯斯,,1887-1959,巴西,作曲,nan,2017-08-08
3254833,"Villanueva, Felipe",维亚努页瓦,,1862-1893,墨西哥,作曲,nan,2017-08-08
3254834,"Viñao, Ezequiel",维良欧,,1960-,阿根廷,作曲,nan,2017-08-08
3254835,"Vinay, Ramoón",维内,,1912-1996,智利,声乐,男高音,2017-08-08
3254836,"Vincent, Michael",文森，麦可,,1976-,加拿大,作曲,nan,2017-08-08
3254837,"Vinci, Leonardo",温奇,,1690-1730,义大利,作曲,nan,2017-08-08
3254838,"Vine, Carl",万恩˙卡尔,,1954-,澳大利亚,作曲,nan,2017-08-08
3254839,"Vine, Ian",万恩，伊安,,1974-,英国,作曲,nan,2017-08-08
3254840,"Vinson, Robert",文森,,1949-,美国,作曲,nan,2017-08-08
3254841,"Violette, Andrew",韦欧雷特,,1954-,美国,作曲,nan,2017-08-08
3254842,"Viotta, Henri",韦欧塔,,1848-1933,荷兰,作曲,nan,2017-08-08
3254843,"Viotti, Giovanni Battista",韦欧第,,1755-1824,义大利,小提琴；作曲,nan,2017-08-08
3254844,"Viozzi, Giulio",韦欧齐,,1912-1984,义大利,作曲,nan,2017-08-08
3254845,"Visetti, Albert Antonio",韦瑟悌,,1846-1928,义大利,指挥；作曲,nan,2017-08-08
